-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  41.929   Longitude -87.7068 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2017,23.33,24.13,22.58,15.5,16.5,15.02,11.37,13.57,16.49,22.07,14.44,27.41,43.43
T2M_RANGE,2018,25.55,24.92,15.07,20.06,23.25,16.89,12.21,12.02,18.16,23.57,16.62,13.22,46.12
T2M_RANGE,2019,34.29,23.6,29.74,19.75,15.8,17.23,10.98,11.13,11.59,22.07,18.78,18.26,53.15
T2M_RANGE,2020,19.59,19.98,15.22,18.27,23.19,17.3,10.28,12.95,17.81,20.69,18.24,17.54,43.7
T2M_RANGE,2021,12.23,24.5,17.73,21.12,23.89,16.75,13.36,10.59,15.69,17.59,18.85,20.09,46.43
T2M_RANGE,2022,20.09,19.08,25.33,18.45,18.68,16.53,10.88,12.36,16.41,18.51,24.41,28.01,48.48
ALLSKY_SFC_LW_DWN,1981,,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN,1982,,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN,1983,,,,,,,,,,,,,
ALLSKY_SFC_LW_DWN,1984,247.15,279.94,260.32,308.7,334.84,383.27,387.8,403.35,383.31,352.15,307.08,282.72,327.61
ALLSKY_SFC_LW_DWN,1985,233.82,242.68,284.87,334.79,350.84,371.25,388.55,391.38,388.39,333.39,295.45,242.67,321.87
ALLSKY_SFC_LW_DWN,1986,256.24,255.12,287.72,325.48,355.19,383.75,402.77,381.72,363.96,330.12,287.69,259.04,324.46
ALLSKY_SFC_LW_DWN,1987,248.91,259.79,286.37,323.62,370.39,389.58,401.3,394.43,366.41,310.66,301.22,268.87,327.14
ALLSKY_SFC_LW_DWN,1988,246.4,238.3,289.66,316.03,340.06,388.57,392.12,401.73,370.23,310.0,294.88,267.19,321.48
ALLSKY_SFC_LW_DWN,1989,261.7,251.07,281.85,310.0,336.73,383.28,396.7,383.57,354.85,332.64,300.36,237.3,319.54
ALLSKY_SFC_LW_DWN,1990,263.64,258.86,292.41,317.77,335.75,371.3,395.73,380.56,372.98,321.22,308.53,267.26,324.16
ALLSKY_SFC_LW_DWN,1991,241.63,269.57,291.17,323.45,373.15,386.7,394.46,380.99,359.96,329.47,298.95,273.88,327.25
ALLSKY_SFC_LW_DWN,1992,257.62,267.61,282.61,313.66,348.06,366.45,386.7,373.81,359.16,325.05,289.52,254.41,318.85
ALLSKY_SFC_LW_DWN,1993,249.0,253.8,284.59,301.62,342.64,380.4,401.44,388.74,352.7,319.69,283.73,275.12,319.88
ALLSKY_SFC_LW_DWN,1994,242.23,250.82,278.21,310.2,327.04,383.4,389.86,378.05,362.31,332.24,302.42,272.2,319.41
ALLSKY_SFC_LW_DWN,1995,263.96,256.04,295.41,309.31,340.83,379.44,398.91,405.92,353.09,329.18,275.5,244.7,321.47
ALLSKY_SFC_LW_DWN,1996,245.65,270.32,273.85,307.2,339.9,380.4,375.27,379.82,354.22,329.8,274.43,259.58,315.98
ALLSKY_SFC_LW_DWN,1997,252.81,252.27,283.79,303.32,320.3,370.74,389.34,377.62,356.77,324.92,289.21,259.56,315.41
ALLSKY_SFC_LW_DWN,1998,258.09,280.38,292.41,321.59,355.85,383.16,393.11,388.81,379.95,331.49,301.72,276.16,330.45
ALLSKY_SFC_LW_DWN,1999,238.98,274.77,263.87,322.62,346.92,385.45,398.23,377.88,349.17,332.44,308.65,270.45,322.63
ALLSKY_SFC_LW_DWN,2000,242.9,267.49,309.45,314.29,359.54,376.09,382.72,382.24,362.02,340.95,285.2,240.42,322.1
ALLSKY_SFC_LW_DWN,2001,255.21,266.09,271.14,319.5,349.16,368.68,388.29,385.95,345.84,318.33,296.95,271.09,319.98
ALLSKY_SFC_LW_DWN,2002,260.35,259.3,272.56,317.59,328.34,375.02,386.46,379.38,350.85,313.07,286.23,265.14,316.48
ALLSKY_SFC_LW_DWN,2003,244.65,248.49,287.83,313.05,342.26,357.09,381.18,385.53,342.62,308.13,300.04,269.64,315.45
ALLSKY_SFC_LW_DWN,2004,247.22,259.37,299.8,308.24,357.52,364.45,381.73,368.8,343.8,319.81,298.63,262.4,317.84
ALLSKY_SFC_LW_DWN,2005,253.55,271.77,272.37,313.04,332.94,384.75,387.85,386.45,363.56,326.36,290.9,264.36,320.87
ALLSKY_SFC_LW_DWN,2006,283.47,252.49,286.2,315.8,343.56,364.87,395.42,387.74,349.22,308.2,295.53,270.84,321.56
ALLSKY_SFC_LW_DWN,2007,262.56,241.54,298.38,305.39,351.73,374.19,375.8,396.27,349.97,336.19,283.58,271.54,321.16
ALLSKY_SFC_LW_DWN,2008,259.28,264.17,277.13,311.65,330.35,372.25,377.51,368.86,354.23,308.84,282.55,255.95,313.65
ALLSKY_SFC_LW_DWN,2009,240.52,256.88,279.16,309.25,335.88,375.0,374.12,376.96,354.54,320.14,294.34,268.64,315.73
ALLSKY_SFC_LW_DWN,2010,255.06,264.23,283.81,320.73,348.81,386.15,392.03,389.58,353.35,307.96,282.8,256.27,320.35
ALLSKY_SFC_LW_DWN,2011,252.51,265.02,278.28,319.77,354.57,378.0,398.69,377.22,353.15,306.28,293.04,273.85,321.16
ALLSKY_SFC_LW_DWN,2012,260.59,265.38,317.12,306.59,344.72,361.52,407.27,372.52,339.29,315.01,279.33,286.57,321.63
ALLSKY_SFC_LW_DWN,2013,252.66,268.27,271.19,305.83,351.35,374.06,381.01,378.18,354.3,317.91,276.55,259.55,316.16
ALLSKY_SFC_LW_DWN,2014,237.83,233.53,265.4,306.7,344.69,377.47,366.25,388.96,344.21,321.27,280.66,279.23,312.66
ALLSKY_SFC_LW_DWN,2015,249.62,242.35,271.64,307.66,357.15,379.47,382.01,373.19,359.9,318.6,289.55,293.3,319.16
ALLSKY_SFC_LW_DWN,2016,249.84,266.93,301.52,311.04,339.55,371.52,393.33,393.66,364.09,333.52,293.98,261.08,323.52
ALLSKY_SFC_LW_DWN,2017,272.7,274.07,287.24,323.26,338.62,364.03,386.05,370.87,354.38,335.62,282.64,255.38,320.67
ALLSKY_SFC_LW_DWN,2018,248.75,266.58,261.12,284.65,362.14,383.69,377.75,385.47,362.47,316.77,281.51,265.17,316.62
ALLSKY_SFC_LW_DWN,2019,252.56,266.23,268.57,308.44,346.5,364.62,388.5,372.87,374.66,314.18,274.33,268.25,316.91
ALLSKY_SFC_LW_DWN,2020,269.35,258.59,291.36,304.3,339.26,369.05,389.43,372.25,348.08,309.77,285.73,263.88,316.96
ALLSKY_SFC_LW_DWN,2021,266.4,242.88,279.8,307.76,338.66,381.72,388.3,388.3,353.63,338.87,272.88,271.69,319.76
ALLSKY_SFC_LW_DWN,2022,240.93,256.07,284.52,310.36,351.29,363.52,380.89,377.68,351.98,301.75,280.16,266.45,314.13
